ICADLibObject::Name;lcsLibManager.nrx;COM Property;
ICADLibObject::ObjectId;lcsLibManager.nrx;COM Property;
ICADLibObject::ParentId;lcsLibManager.nrx;COM Property;
ICADLibObject::RootElement;lcsLibManager.nrx;COM Property;
ICADLibObjects::_NewEnum;lcsLibManager.nrx;COM Property;
ICADLibObjects::Count;lcsLibManager.nrx;COM Property;
ICADLibObjects::Item;lcsLibManager.nrx;COM Method;
ICADLibQuery::AddCondition;lcsLibManager.nrx;COM Method;
ICADLibQuery::Execute;lcsLibManager.nrx;COM Method;
ICADLibQuery::Search;lcsLibManager.nrx;COM Method;
ICADLibQuery::SelectObjects;lcsLibManager.nrx;COM Method;
ICADLibrary::GetLibObject;lcsLibManager.nrx;COM Method;
ICADLibrary::GetLibQuery;lcsLibManager.nrx;COM Method;
ICADLibrary::Insert;lcsLibManager.nrx;COM Method;
ICADLibrary::IsConnected;lcsLibManager.nrx;COM Property;
int __cdecl libAbortTransaction(void);lcsLibManager.nrx;Exported Function;
int __cdecl libAssertCategoryExists(wchar_t const * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libCommitTransaction(void);lcsLibManager.nrx;Exported Function;
int __cdecl libCreateDBPreview(class CLibraryObject * __ptr64,class NcDbDatabase * __ptr64,wchar_t const * __ptr64,unsigned int);lcsLibManager.nrx;Exported Function;
int __cdecl libCreateIcon(wchar_t const * __ptr64,struct HINSTANCE__ * __ptr64,unsigned int,unsigned int);lcsLibManager.nrx;Exported Function;
int __cdecl libCreateObject(class CElement * __ptr64,int,class TArrayTemplate<int> * __ptr64,class CLibraryObject * __ptr64 * __ptr64,bool);lcsLibManager.nrx;Exported Function;
int __cdecl libCreateObjectEx(class CElement * __ptr64,int,class TArrayTemplate<int> * __ptr64,class CLibraryObject * __ptr64 * __ptr64,bool,bool);lcsLibManager.nrx;Exported Function;
int __cdecl libCreateObjectEx(class CElement * __ptr64,int,class TArrayTemplate<int> * __ptr64,class std::auto_ptr<class CLibraryObject> & __ptr64,bool,bool);lcsLibManager.nrx;Exported Function;
int __cdecl libCreatePreview(class CLibraryObject * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64,unsigned int);lcsLibManager.nrx;Exported Function;
int __cdecl libEraseObject(long);lcsLibManager.nrx;Exported Function;
int __cdecl libGetCategoryId(wchar_t const * __ptr64,bool,wchar_t const * __ptr64,wchar_t const * __ptr64,int,wchar_t const * __ptr64,unsigned int,unsigned int,struct HINSTANCE__ * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libGetFileCategoryId(wchar_t const * __ptr64,wchar_t const * __ptr64,bool,bool,wchar_t const * __ptr64,unsigned int,unsigned int,struct HINSTANCE__ * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libGetObjectParameters(int,class CIndirectArray<class CParamDef> & __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libGetSelectedFile(class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > & __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libIsDbOpen(void);lcsLibManager.nrx;Exported Function;
int __cdecl libObjectSearch(class CLibraryCADObjectData * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libOpenDatabase(wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libRefresh(void);lcsLibManager.nrx;Exported Function;
int __cdecl libRegisterApp(wchar_t const * __ptr64,wchar_t const * __ptr64,class CLibraryCADObjectData * __ptr64 (__cdecl*)(void));lcsLibManager.nrx;Exported Function;
int __cdecl libRegisterAppMiscCommand(wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64,struct HICON__ * __ptr64,bool);lcsLibManager.nrx;Exported Function;
int __cdecl libRegisterFileCommand(wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64,wchar_t const * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libSaveDecoration(class CLibraryObject * __ptr64,class NcDbObjectId const & __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libSelectObject(long);lcsLibManager.nrx;Exported Function;
int __cdecl libStartTransaction(long);lcsLibManager.nrx;Exported Function;
int __cdecl libUnregisterApp(wchar_t const * __ptr64);lcsLibManager.nrx;Exported Function;
int __cdecl libUpdateForm(wchar_t const * __ptr64,wchar_t const * __ptr64);lcsLibManager.nrx;Exported Function;
ncrxEntryPoint;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::ResizeAndInsert(__int64,__int64,class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::ResizeAndInsert(__int64,__int64,class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl CIndirectArray<class CLibConstraintStructureItem>::ResizeAndInsert(__int64,__int64,class CLibConstraintStructureItem * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
protected: __int64 __cdecl CSortedIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::FindSorted(class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64,__int64 & __ptr64)const __ptr64;lcsLibManager.nrx;Exported Function;
