public: virtual long __cdecl CoElementStandalone::CreateParentObject(struct IElement * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElementStandalone::CreateElement(class CElement * __ptr64,struct IElement * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElementPersistent::get_ObjectId(long * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElementPersistent::get_IsValid(short * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElementPersistent::get_HasParent(short * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElementPersistent::get_FrameId(long * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElementPersistent::get_ElementId(long * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::put_Parent(struct IElement * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::put_Name(wchar_t * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::InterfaceSupportsErrorInfo(struct _GUID const & __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElement::GetValueComment(wchar_t * __ptr64,wchar_t * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElement::GetValue(wchar_t * __ptr64,wchar_t * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElement::GetPath(wchar_t * __ptr64,wchar_t * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElement::GetParentByLevel(long,struct IElement * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElement::GetById(long,struct IElement * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_SubElements(struct IElements * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_Parent(struct IElement * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_Parameters(struct IParameters * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_Name(wchar_t * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_IsValid(short * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_Implementation(struct tagVARIANT * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::get_Description(wchar_t * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CoElement::CopyFrom(struct IElement * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CoElement::AddChild(wchar_t * __ptr64,struct IElement * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CMDSObjects::Item(struct tagVARIANT,struct IDispatch * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CMDSObjects::InterfaceSupportsErrorInfo(struct _GUID const & __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CMDSObjects::get_Count(long * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CMDSObjects::get__NewEnum(struct IUnknown * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CMDSNodes::Item(struct tagVARIANT,struct IDispatch * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CMDSNodes::get_Count(long * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CMDSNodes::get__NewEnum(struct IUnknown * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CEnumVariantImpl::Skip(unsigned long) __ptr64,UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CEnumVariantImpl::Reset(void) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl CEnumVariantImpl::Next(unsigned long,struct tagVARIANT * __ptr64,unsigned long * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
public: virtual long __cdecl CEnumVariantImpl::Clone(struct IEnumVARIANT * __ptr64 * __ptr64) __ptr64,UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSObjects,&struct _GUID const IID_IMDSObjects,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::Invoke(long,struct _GUID const & __ptr64,unsigned long,unsigned short,struct tagDISPPARAMS * __ptr64,struct tagVARIANT * __ptr64,struct tagEXCEPINFO * __ptr64,unsigned int * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSObjects,&struct _GUID const IID_IMDSObjects,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetTypeInfoCount(unsigned int * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
"public: virtual long __cdecl ATL::IDispatchImpl<struct IMDSObjects,&struct _GUID const IID_IMDSObjects,&struct _GUID const LIBID_mdsUnitsLib,1,0,class ATL::CComTypeInfoHolder>::GetTypeInfo(unsigned int,unsigned long,struct ITypeInfo * __ptr64 * __ptr64) __ptr64",UnitsCSCom.dll,Exported Function
